Start_Time,End_Time,Game_Duration
2017-08-30 10:46:40.000,2017-08-30 13:33:20.000,10000.0
2017-07-09 14:20:00.000,2017-07-09 17:06:40.000,10000.0
2017-06-25 14:13:20.000,2017-06-25 17:00:00.000,10000.0
2017-06-19 16:33:20.000,2017-06-19 19:20:00.000,10000.0
2017-08-20 09:06:40.000,2017-08-20 11:53:20.000,10000.0
2017-08-25 16:53:20.000,2017-08-25 19:40:00.000,10000.0
2017-08-22 00:00:00.000,2017-08-22 02:46:40.000,10000.0
2017-08-24 02:00:00.000,2017-08-24 04:46:40.000,10000.0
2017-08-25 14:06:40.000,2017-08-25 16:53:20.000,10000.0
2017-08-28 19:53:20.000,2017-08-28 22:40:00.000,10000.0
2017-08-27 10:33:20.000,2017-08-27 13:20:00.000,10000.0
2017-08-18 09:53:20.000,2017-08-18 12:40:00.000,10000.0
2017-08-27 02:13:20.000,2017-08-27 05:00:00.000,10000.0
2017-08-25 00:13:20.000,2017-08-25 03:00:00.000,10000.0
2017-08-22 16:40:00.000,2017-08-22 19:26:40.000,10000.0
2017-08-21 18:26:40.000,2017-08-21 21:13:20.000,10000.0
2017-07-27 01:46:40.000,2017-07-27 04:33:20.000,10000.0
2017-08-25 11:20:00.000,2017-08-25 14:06:40.000,10000.0
2017-08-22 11:06:40.000,2017-08-22 13:53:20.000,10000.0
2017-08-21 07:20:00.000,2017-08-21 10:06:40.000,10000.0
2017-08-18 23:46:40.000,2017-08-19 02:33:20.000,10000.0
2017-08-16 19:00:00.000,2017-08-16 21:46:40.000,10000.0
2017-03-23 14:40:00.000,2017-03-23 17:26:40.000,10000.0
2017-08-29 01:26:40.000,2017-08-29 04:13:20.000,10000.0
2017-08-13 16:00:00.000,2017-08-13 18:46:40.000,10000.0
2017-08-28 19:53:20.000,2017-08-28 22:40:00.000,10000.0
2017-08-29 15:20:00.000,2017-08-29 18:06:40.000,10000.0
2017-08-28 19:53:20.000,2017-08-28 22:40:00.000,10000.0
2017-08-09 23:06:40.000,2017-08-10 01:53:20.000,10000.0
2017-08-26 20:40:00.000,2017-08-26 23:26:40.000,10000.0
2017-08-21 15:40:00.000,2017-08-21 18:26:40.000,10000.0
2017-08-20 14:40:00.000,2017-08-20 17:26:40.000,10000.0
2017-08-16 13:26:40.000,2017-08-16 16:13:20.000,10000.0
2017-08-31 09:00:00.000,2017-08-31 11:46:40.000,10000.0
2017-08-09 09:13:20.000,2017-08-09 12:00:00.000,10000.0
2017-08-02 07:46:40.000,2017-08-02 10:33:20.000,10000.0
2017-08-15 15:13:20.000,2017-08-15 18:00:00.000,10000.0
2017-08-31 20:06:40.000,2017-08-31 22:53:20.000,10000.0
2017-08-30 19:06:40.000,2017-08-30 21:53:20.000,10000.0
2017-08-27 18:53:20.000,2017-08-27 21:40:00.000,10000.0
2017-08-20 17:26:40.000,2017-08-20 20:13:20.000,10000.0
2017-08-15 20:46:40.000,2017-08-15 23:33:20.000,10000.0
2017-08-09 20:20:00.000,2017-08-09 23:06:40.000,10000.0
2017-08-07 23:53:20.000,2017-08-08 02:40:00.000,10000.0
2017-08-03 22:40:00.000,2017-08-04 01:26:40.000,10000.0
2017-08-31 17:20:00.000,2017-08-31 20:06:40.000,10000.0
2017-09-01 12:46:40.000,2017-09-01 15:33:20.000,10000.0
2017-08-10 18:33:20.000,2017-08-10 21:20:00.000,10000.0
2017-08-19 19:13:20.000,2017-08-19 22:00:00.000,10000.0
2017-08-18 15:26:40.000,2017-08-18 18:13:20.000,10000.0
2017-08-18 15:26:40.000,2017-08-18 18:13:20.000,10000.0
2017-08-07 15:33:20.000,2017-08-07 18:20:00.000,10000.0
2017-08-24 18:40:00.000,2017-08-24 21:26:40.000,10000.0
2017-08-25 16:53:20.000,2017-08-25 19:40:00.000,10000.0
2017-08-16 16:13:20.000,2017-08-16 19:00:00.000,10000.0
2017-08-15 18:00:00.000,2017-08-15 20:46:40.000,10000.0
2017-07-14 05:26:40.000,2017-07-14 08:13:20.000,10000.0
2017-07-13 18:20:00.000,2017-07-13 21:06:40.000,10000.0
2017-08-26 23:26:40.000,2017-08-27 02:13:20.000,10000.0
2017-08-23 17:40:00.000,2017-08-23 20:26:40.000,10000.0
2017-08-23 01:00:00.000,2017-08-23 03:46:40.000,10000.0
2017-08-19 19:13:20.000,2017-08-19 22:00:00.000,10000.0
2017-08-29 23:40:00.000,2017-08-30 02:26:40.000,10000.0
2017-08-12 01:06:40.000,2017-08-12 03:53:20.000,10000.0
2017-08-09 03:40:00.000,2017-08-09 06:26:40.000,10000.0
2017-07-04 12:06:40.000,2017-07-04 14:53:20.000,10000.0
2017-08-25 19:40:00.000,2017-08-25 22:26:40.000,10000.0
2017-08-23 20:26:40.000,2017-08-23 23:13:20.000,10000.0
2017-08-24 13:06:40.000,2017-08-24 15:53:20.000,10000.0
2017-08-24 13:06:40.000,2017-08-24 15:53:20.000,10000.0
2017-08-24 13:06:40.000,2017-08-24 15:53:20.000,10000.0
2017-08-24 13:06:40.000,2017-08-24 15:53:20.000,10000.0
2017-08-04 12:33:20.000,2017-08-04 15:20:00.000,10000.0
2017-07-20 03:06:40.000,2017-07-20 05:53:20.000,10000.0
2017-07-18 15:00:00.000,2017-07-18 17:46:40.000,10000.0
2017-07-15 17:33:20.000,2017-07-15 20:20:00.000,10000.0
2017-07-15 06:26:40.000,2017-07-15 09:13:20.000,10000.0
2017-08-22 22:13:20.000,2017-08-23 01:00:00.000,10000.0
2017-07-24 07:06:40.000,2017-07-24 09:53:20.000,10000.0
2017-07-22 13:26:40.000,2017-07-22 16:13:20.000,10000.0
2017-07-21 12:26:40.000,2017-07-21 15:13:20.000,10000.0
2017-08-12 17:46:40.000,2017-08-12 20:33:20.000,10000.0
2017-07-20 17:00:00.000,2017-07-20 19:46:40.000,10000.0
2017-08-29 23:40:00.000,2017-08-30 02:26:40.000,10000.0
2017-08-20 03:33:20.000,2017-08-20 06:20:00.000,10000.0
2017-06-15 07:00:00.000,2017-06-15 09:46:40.000,10000.0
2017-06-13 16:06:40.000,2017-06-13 18:53:20.000,10000.0
2017-06-12 12:20:00.000,2017-06-12 15:06:40.000,10000.0
2017-06-04 12:40:00.000,2017-06-04 15:26:40.000,10000.0
2017-06-04 09:53:20.000,2017-06-04 12:40:00.000,10000.0
2017-06-04 07:06:40.000,2017-06-04 09:53:20.000,10000.0
2017-05-26 14:46:40.000,2017-05-26 17:33:20.000,10000.0
2017-05-26 03:40:00.000,2017-05-26 06:26:40.000,10000.0
2017-04-25 06:00:00.000,2017-04-25 08:46:40.000,10000.0
2017-05-23 00:40:00.000,2017-05-23 03:26:40.000,10000.0
2017-08-31 17:20:00.000,2017-08-31 20:06:40.000,10000.0
2017-08-28 17:06:40.000,2017-08-28 19:53:20.000,10000.0
2017-08-24 15:53:20.000,2017-08-24 18:40:00.000,10000.0
2017-08-31 00:40:00.000,2017-08-31 03:26:40.000,10000.0
2017-08-27 21:40:00.000,2017-08-28 00:26:40.000,10000.0
2017-07-10 23:40:00.000,2017-07-11 02:26:40.000,10000.0
2017-07-03 22:13:20.000,2017-07-04 01:00:00.000,10000.0
2017-05-28 16:46:40.000,2017-05-28 19:33:20.000,10000.0
2017-05-27 21:20:00.000,2017-05-28 00:06:40.000,10000.0
2017-09-01 07:13:20.000,2017-09-01 10:00:00.000,10000.0
2017-08-31 06:13:20.000,2017-08-31 09:00:00.000,10000.0
2017-08-14 14:13:20.000,2017-08-14 17:00:00.000,10000.0
2017-07-12 00:40:00.000,2017-07-12 03:26:40.000,10000.0
2017-06-06 14:40:00.000,2017-06-06 17:26:40.000,10000.0
2017-05-31 00:20:00.000,2017-05-31 03:06:40.000,10000.0
2017-05-26 17:33:20.000,2017-05-26 20:20:00.000,10000.0
2017-06-02 16:13:20.000,2017-06-02 19:00:00.000,10000.0
2016-12-21 19:53:20.000,2016-12-21 22:40:00.000,10000.0
2017-05-20 14:20:00.000,2017-05-20 17:06:40.000,10000.0
2017-04-24 21:40:00.000,2017-04-25 00:26:40.000,10000.0
2017-09-01 10:00:00.000,2017-09-01 12:46:40.000,10000.0
2017-09-01 07:13:20.000,2017-09-01 10:00:00.000,10000.0
2017-08-29 07:00:00.000,2017-08-29 09:46:40.000,10000.0
2017-06-11 11:20:00.000,2017-06-11 14:06:40.000,10000.0
2017-08-22 02:46:40.000,2017-08-22 05:33:20.000,10000.0
2017-04-09 09:26:40.000,2017-04-09 12:13:20.000,10000.0
2017-04-01 01:26:40.000,2017-04-01 04:13:20.000,10000.0
2017-03-27 04:46:40.000,2017-03-27 07:33:20.000,10000.0
2017-05-31 19:46:40.000,2017-05-31 22:33:20.000,10000.0
2017-07-12 00:40:00.000,2017-07-12 03:26:40.000,10000.0
2017-05-04 20:33:20.000,2017-05-04 23:20:00.000,10000.0
2017-04-28 00:40:00.000,2017-04-28 03:26:40.000,10000.0
2017-07-10 15:20:00.000,2017-07-10 18:06:40.000,10000.0
2017-09-01 07:13:20.000,2017-09-01 10:00:00.000,10000.0
2017-08-31 06:13:20.000,2017-08-31 09:00:00.000,10000.0
2017-04-22 03:00:00.000,2017-04-22 05:46:40.000,10000.0
2017-04-16 05:20:00.000,2017-04-16 08:06:40.000,10000.0
2017-04-02 05:13:20.000,2017-04-02 08:00:00.000,10000.0
2017-03-31 17:06:40.000,2017-03-31 19:53:20.000,10000.0
2017-03-11 08:13:20.000,2017-03-11 11:00:00.000,10000.0
2017-02-26 11:53:20.000,2017-02-26 14:40:00.000,10000.0
2017-05-06 14:13:20.000,2017-05-06 17:00:00.000,10000.0
2017-05-01 23:06:40.000,2017-05-02 01:53:20.000,10000.0
2017-08-26 12:20:00.000,2017-08-26 15:06:40.000,10000.0
2017-07-20 22:33:20.000,2017-07-21 01:20:00.000,10000.0
2017-04-20 17:40:00.000,2017-04-20 20:26:40.000,10000.0
2017-04-08 19:33:20.000,2017-04-08 22:20:00.000,10000.0
2017-04-08 02:53:20.000,2017-04-08 05:40:00.000,10000.0
2017-02-20 11:26:40.000,2017-02-20 14:13:20.000,10000.0
2017-03-08 19:06:40.000,2017-03-08 21:53:20.000,10000.0
2017-04-11 17:00:00.000,2017-04-11 19:46:40.000,10000.0
2017-07-13 21:06:40.000,2017-07-13 23:53:20.000,10000.0
2017-04-03 11:46:40.000,2017-04-03 14:33:20.000,10000.0
2017-07-07 09:33:20.000,2017-07-07 12:20:00.000,10000.0
2017-06-20 17:33:20.000,2017-06-20 20:20:00.000,10000.0
2017-05-18 20:40:00.000,2017-05-18 23:26:40.000,10000.0
2017-08-20 09:06:40.000,2017-08-20 11:53:20.000,10000.0
2017-04-11 17:00:00.000,2017-04-11 19:46:40.000,10000.0
2017-03-23 11:53:20.000,2017-03-23 14:40:00.000,10000.0
2017-03-19 07:53:20.000,2017-03-19 10:40:00.000,10000.0
2017-03-19 02:20:00.000,2017-03-19 05:06:40.000,10000.0
2017-03-25 16:40:00.000,2017-03-25 19:26:40.000,10000.0
2017-01-09 08:20:00.000,2017-01-09 11:06:40.000,10000.0
2017-01-08 18:26:40.000,2017-01-08 21:13:20.000,10000.0
2017-08-30 21:53:20.000,2017-08-31 00:40:00.000,10000.0
2017-08-31 09:00:00.000,2017-08-31 11:46:40.000,10000.0
2017-08-29 18:06:40.000,2017-08-29 20:53:20.000,10000.0
2017-08-26 17:53:20.000,2017-08-26 20:40:00.000,10000.0
2017-03-16 21:33:20.000,2017-03-17 00:20:00.000,10000.0
2017-07-21 23:33:20.000,2017-07-22 02:20:00.000,10000.0
2017-03-30 07:46:40.000,2017-03-30 10:33:20.000,10000.0
2017-03-23 03:33:20.000,2017-03-23 06:20:00.000,10000.0
2017-08-29 01:26:40.000,2017-08-29 04:13:20.000,10000.0
2017-08-27 18:53:20.000,2017-08-27 21:40:00.000,10000.0
2017-08-25 16:53:20.000,2017-08-25 19:40:00.000,10000.0
2017-08-16 21:46:40.000,2017-08-17 00:33:20.000,10000.0
2017-05-24 04:26:40.000,2017-05-24 07:13:20.000,10000.0
2017-05-20 06:00:00.000,2017-05-20 08:46:40.000,10000.0
2017-05-19 21:40:00.000,2017-05-20 00:26:40.000,10000.0
2017-04-10 18:46:40.000,2017-04-10 21:33:20.000,10000.0
2017-04-01 01:26:40.000,2017-04-01 04:13:20.000,10000.0
2017-03-26 17:40:00.000,2017-03-26 20:26:40.000,10000.0
2017-03-25 00:00:00.000,2017-03-25 02:46:40.000,10000.0
2017-03-21 23:46:40.000,2017-03-22 02:33:20.000,10000.0
2017-03-03 22:26:40.000,2017-03-04 01:13:20.000,10000.0
2017-09-01 04:26:40.000,2017-09-01 07:13:20.000,10000.0
2017-08-25 19:40:00.000,2017-08-25 22:26:40.000,10000.0
2017-07-26 09:06:40.000,2017-07-26 11:53:20.000,10000.0
2017-06-23 01:06:40.000,2017-06-23 03:53:20.000,10000.0
2017-06-17 20:06:40.000,2017-06-17 22:53:20.000,10000.0
2017-06-13 21:40:00.000,2017-06-14 00:26:40.000,10000.0
2017-06-11 19:40:00.000,2017-06-11 22:26:40.000,10000.0
2017-06-07 21:13:20.000,2017-06-08 00:00:00.000,10000.0
2017-03-17 19:46:40.000,2017-03-18 01:20:00.000,20000.0
2017-02-20 19:46:40.000,2017-02-20 22:33:20.000,10000.0
2017-03-08 19:06:40.000,2017-03-08 21:53:20.000,10000.0
2017-02-10 04:13:20.000,2017-02-10 07:00:00.000,10000.0
2017-02-09 03:13:20.000,2017-02-09 06:00:00.000,10000.0
2017-02-09 00:26:40.000,2017-02-09 03:13:20.000,10000.0
2017-02-08 02:13:20.000,2017-02-08 05:00:00.000,10000.0
2017-02-07 04:00:00.000,2017-02-07 06:46:40.000,10000.0
2017-08-19 19:13:20.000,2017-08-19 22:00:00.000,10000.0
2017-08-05 16:20:00.000,2017-08-05 19:06:40.000,10000.0
2017-02-07 04:00:00.000,2017-02-07 06:46:40.000,10000.0
2017-06-19 16:33:20.000,2017-06-19 19:20:00.000,10000.0
2017-03-29 12:20:00.000,2017-03-29 15:06:40.000,10000.0
2017-02-22 13:26:40.000,2017-02-22 16:13:20.000,10000.0
2017-02-21 12:26:40.000,2017-02-21 15:13:20.000,10000.0
2017-02-12 20:06:40.000,2017-02-12 22:53:20.000,10000.0
2017-02-10 23:40:00.000,2017-02-11 02:26:40.000,10000.0
2017-02-09 22:40:00.000,2017-02-10 01:26:40.000,10000.0
2017-02-09 17:06:40.000,2017-02-09 19:53:20.000,10000.0
2017-02-02 21:13:20.000,2017-02-03 00:00:00.000,10000.0
2017-01-31 22:00:00.000,2017-02-01 00:46:40.000,10000.0
2017-02-08 16:06:40.000,2017-02-08 18:53:20.000,10000.0
2016-11-22 13:06:40.000,2016-11-22 15:53:20.000,10000.0
2017-04-03 11:46:40.000,2017-04-03 14:33:20.000,10000.0
2017-04-01 23:40:00.000,2017-04-02 02:26:40.000,10000.0
2017-02-18 17:46:40.000,2017-02-18 20:33:20.000,10000.0
2017-02-11 13:33:20.000,2017-02-11 16:20:00.000,10000.0
2017-03-05 21:40:00.000,2017-03-06 00:26:40.000,10000.0
2017-02-28 22:13:20.000,2017-03-01 01:00:00.000,10000.0
2017-02-26 20:13:20.000,2017-02-26 23:00:00.000,10000.0
2017-02-22 16:13:20.000,2017-02-22 19:00:00.000,10000.0
2017-09-01 04:26:40.000,2017-09-01 07:13:20.000,10000.0
2017-03-11 16:33:20.000,2017-03-11 19:20:00.000,10000.0
2017-01-06 16:26:40.000,2017-01-06 19:13:20.000,10000.0
2017-08-27 16:06:40.000,2017-08-27 18:53:20.000,10000.0
2017-08-26 15:06:40.000,2017-08-26 17:53:20.000,10000.0
2017-03-13 04:40:00.000,2017-03-13 07:26:40.000,10000.0
2017-01-31 02:33:20.000,2017-01-31 05:20:00.000,10000.0
2017-08-28 19:53:20.000,2017-08-28 22:40:00.000,10000.0
2017-01-26 08:40:00.000,2017-01-26 11:26:40.000,10000.0
2017-07-17 08:26:40.000,2017-07-17 11:13:20.000,10000.0
2017-08-27 18:53:20.000,2017-08-27 21:40:00.000,10000.0
2017-08-23 01:00:00.000,2017-08-23 03:46:40.000,10000.0
2017-08-11 02:53:20.000,2017-08-11 05:40:00.000,10000.0
2017-08-10 04:40:00.000,2017-08-10 07:26:40.000,10000.0
2017-08-06 03:26:40.000,2017-08-06 06:13:20.000,10000.0
2017-08-05 05:13:20.000,2017-08-05 08:00:00.000,10000.0
2017-08-05 02:26:40.000,2017-08-05 05:13:20.000,10000.0
2017-08-04 20:53:20.000,2017-08-04 23:40:00.000,10000.0
2017-01-18 11:46:40.000,2017-01-18 14:33:20.000,10000.0
2016-12-23 02:26:40.000,2016-12-23 05:13:20.000,10000.0
2016-12-19 23:26:40.000,2016-12-20 02:13:20.000,10000.0
2016-12-19 17:53:20.000,2016-12-19 20:40:00.000,10000.0
2016-12-18 03:00:00.000,2016-12-18 05:46:40.000,10000.0
2017-01-27 01:20:00.000,2017-01-27 04:06:40.000,10000.0
2017-01-26 05:53:20.000,2017-01-26 08:40:00.000,10000.0
2017-01-25 21:33:20.000,2017-01-26 00:20:00.000,10000.0
2017-01-29 06:06:40.000,2017-01-29 08:53:20.000,10000.0
2016-12-17 15:53:20.000,2016-12-17 18:40:00.000,10000.0
2016-12-16 03:46:40.000,2016-12-16 06:33:20.000,10000.0
2016-12-16 01:00:00.000,2016-12-16 03:46:40.000,10000.0
2017-08-18 18:13:20.000,2017-08-18 21:00:00.000,10000.0
2017-08-17 22:46:40.000,2017-08-18 01:33:20.000,10000.0
2016-12-17 13:06:40.000,2016-12-17 15:53:20.000,10000.0
2016-12-16 17:40:00.000,2016-12-16 20:26:40.000,10000.0
2016-12-16 12:06:40.000,2016-12-16 14:53:20.000,10000.0
2016-12-21 14:20:00.000,2016-12-21 17:06:40.000,10000.0
2017-03-21 04:20:00.000,2017-03-21 07:06:40.000,10000.0
2017-01-20 13:46:40.000,2017-01-20 16:33:20.000,10000.0
2016-12-25 21:06:40.000,2016-12-25 23:53:20.000,10000.0
2016-12-24 14:33:20.000,2016-12-24 17:20:00.000,10000.0
2016-12-21 22:40:00.000,2016-12-22 01:26:40.000,10000.0
2017-03-24 15:40:00.000,2017-03-24 18:26:40.000,10000.0
2017-01-12 00:13:20.000,2017-01-12 03:00:00.000,10000.0
2017-08-14 17:00:00.000,2017-08-14 19:46:40.000,10000.0
2016-12-26 19:20:00.000,2016-12-26 22:06:40.000,10000.0
2016-12-22 23:40:00.000,2016-12-23 02:26:40.000,10000.0
2016-12-17 13:06:40.000,2016-12-17 15:53:20.000,10000.0
2016-08-29 03:06:40.000,2016-08-29 05:53:20.000,10000.0
2016-08-11 21:13:20.000,2016-08-12 00:00:00.000,10000.0
2016-12-11 07:06:40.000,2016-12-11 09:53:20.000,10000.0
2017-02-12 06:13:20.000,2017-02-12 09:00:00.000,10000.0
2017-02-05 15:53:20.000,2017-02-05 18:40:00.000,10000.0
2017-04-20 17:40:00.000,2017-04-20 20:26:40.000,10000.0
2017-04-17 17:26:40.000,2017-04-17 20:13:20.000,10000.0
2017-04-15 15:26:40.000,2017-04-15 18:13:20.000,10000.0
2017-04-12 15:13:20.000,2017-04-12 18:00:00.000,10000.0
2017-08-27 18:53:20.000,2017-08-27 21:40:00.000,10000.0
2017-02-17 14:00:00.000,2017-02-17 16:46:40.000,10000.0
2017-06-02 16:13:20.000,2017-06-02 19:00:00.000,10000.0
2017-04-11 22:33:20.000,2017-04-12 01:20:00.000,10000.0
2016-12-06 21:33:20.000,2016-12-07 00:20:00.000,10000.0
2017-04-09 17:46:40.000,2017-04-09 20:33:20.000,10000.0
2017-08-02 07:46:40.000,2017-08-02 10:33:20.000,10000.0
2017-07-16 04:40:00.000,2017-07-16 07:26:40.000,10000.0
2016-12-02 23:06:40.000,2016-12-03 01:53:20.000,10000.0
2017-04-22 16:53:20.000,2017-04-22 19:40:00.000,10000.0
2017-01-06 05:20:00.000,2017-01-06 08:06:40.000,10000.0
2017-04-10 21:33:20.000,2017-04-11 00:20:00.000,10000.0
2017-03-15 17:46:40.000,2017-03-15 20:33:20.000,10000.0
2017-03-13 18:33:20.000,2017-03-13 21:20:00.000,10000.0
2017-02-27 21:13:20.000,2017-02-28 02:46:40.000,20000.0
2017-02-14 22:06:40.000,2017-02-15 00:53:20.000,10000.0
2016-12-08 20:46:40.000,2016-12-09 02:20:00.000,20000.0
2016-08-20 13:33:20.000,2016-08-20 16:20:00.000,10000.0
2016-07-21 22:26:40.000,2016-07-22 01:13:20.000,10000.0
2017-08-16 19:00:00.000,2017-08-16 21:46:40.000,10000.0
2017-06-19 22:06:40.000,2017-06-20 00:53:20.000,10000.0
2017-01-17 21:53:20.000,2017-01-18 00:40:00.000,10000.0
2017-01-13 01:13:20.000,2017-01-13 04:00:00.000,10000.0
2017-01-10 17:40:00.000,2017-01-10 20:26:40.000,10000.0
2016-12-31 18:46:40.000,2016-12-31 21:33:20.000,10000.0
2016-12-24 17:20:00.000,2016-12-24 20:06:40.000,10000.0
2016-11-18 11:53:20.000,2016-11-18 14:40:00.000,10000.0
2016-02-14 08:53:20.000,2016-02-14 11:40:00.000,10000.0
2016-02-14 06:06:40.000,2016-02-14 08:53:20.000,10000.0
2016-09-21 17:46:40.000,2016-09-21 20:33:20.000,10000.0
2016-11-13 18:00:00.000,2016-11-13 20:46:40.000,10000.0
2016-11-07 20:20:00.000,2016-11-07 23:06:40.000,10000.0
2016-09-26 20:00:00.000,2016-09-26 22:46:40.000,10000.0
2016-09-21 17:46:40.000,2016-09-21 20:33:20.000,10000.0
2016-09-21 15:00:00.000,2016-09-21 17:46:40.000,10000.0
2017-08-31 22:53:20.000,2017-09-01 01:40:00.000,10000.0
2017-04-30 19:20:00.000,2017-04-30 22:06:40.000,10000.0
2017-08-31 20:06:40.000,2017-08-31 22:53:20.000,10000.0
2017-08-29 18:06:40.000,2017-08-29 20:53:20.000,10000.0
2016-12-07 19:46:40.000,2016-12-07 22:33:20.000,10000.0
2016-11-03 05:13:20.000,2016-11-03 08:00:00.000,10000.0
2016-11-03 02:26:40.000,2016-11-03 05:13:20.000,10000.0
2016-11-01 03:13:20.000,2016-11-01 06:00:00.000,10000.0
2016-11-12 17:00:00.000,2016-11-12 19:46:40.000,10000.0
2016-11-08 07:26:40.000,2016-11-08 10:13:20.000,10000.0
2017-03-01 03:46:40.000,2017-03-01 06:33:20.000,10000.0
2017-02-22 02:20:00.000,2017-02-22 05:06:40.000,10000.0
2016-12-04 05:40:00.000,2016-12-04 08:26:40.000,10000.0
2016-12-04 05:40:00.000,2016-12-04 08:26:40.000,10000.0
2016-12-04 05:40:00.000,2016-12-04 08:26:40.000,10000.0
2016-12-04 05:40:00.000,2016-12-04 08:26:40.000,10000.0
2016-12-04 05:40:00.000,2016-12-04 08:26:40.000,10000.0
2016-11-20 22:13:20.000,2016-11-21 01:00:00.000,10000.0
2016-11-20 22:13:20.000,2016-11-21 01:00:00.000,10000.0
2016-11-20 22:13:20.000,2016-11-21 01:00:00.000,10000.0
2016-10-26 11:06:40.000,2016-10-26 13:53:20.000,10000.0
2016-10-26 11:06:40.000,2016-10-26 13:53:20.000,10000.0
2016-10-26 11:06:40.000,2016-10-26 13:53:20.000,10000.0
2016-10-26 11:06:40.000,2016-10-26 13:53:20.000,10000.0
2016-10-26 11:06:40.000,2016-10-26 13:53:20.000,10000.0
2016-10-26 11:06:40.000,2016-10-26 13:53:20.000,10000.0
2016-10-26 11:06:40.000,2016-10-26 13:53:20.000,10000.0
2016-10-22 09:53:20.000,2016-10-22 12:40:00.000,10000.0
2016-10-22 09:53:20.000,2016-10-22 12:40:00.000,10000.0
2016-10-22 09:53:20.000,2016-10-22 12:40:00.000,10000.0
2016-10-22 09:53:20.000,2016-10-22 12:40:00.000,10000.0
2016-10-22 09:53:20.000,2016-10-22 12:40:00.000,10000.0
2016-10-20 13:26:40.000,2016-10-20 16:13:20.000,10000.0
2017-09-01 01:40:00.000,2017-09-01 04:26:40.000,10000.0
2017-08-31 22:53:20.000,2017-09-01 01:40:00.000,10000.0
2017-08-29 18:06:40.000,2017-08-29 20:53:20.000,10000.0
2017-08-28 17:06:40.000,2017-08-28 19:53:20.000,10000.0
2017-08-26 23:26:40.000,2017-08-27 02:13:20.000,10000.0
2016-09-01 00:33:20.000,2016-09-01 03:20:00.000,10000.0
2016-08-18 06:00:00.000,2016-08-18 08:46:40.000,10000.0
2016-08-17 16:06:40.000,2016-08-17 18:53:20.000,10000.0
2016-11-21 01:00:00.000,2016-11-21 03:46:40.000,10000.0
2016-11-12 03:06:40.000,2016-11-12 05:53:20.000,10000.0
2016-10-30 23:26:40.000,2016-10-31 02:13:20.000,10000.0
2016-09-19 10:13:20.000,2016-09-19 13:00:00.000,10000.0
2016-09-12 11:33:20.000,2016-09-12 14:20:00.000,10000.0
2016-08-20 02:26:40.000,2016-08-20 05:13:20.000,10000.0
2017-08-19 19:13:20.000,2017-08-19 22:00:00.000,10000.0
2017-08-12 23:20:00.000,2017-08-13 02:06:40.000,10000.0
2017-08-05 02:26:40.000,2017-08-05 05:13:20.000,10000.0
2016-08-13 17:40:00.000,2016-08-13 20:26:40.000,10000.0
2016-11-06 13:46:40.000,2016-11-06 16:33:20.000,10000.0
2016-09-27 21:00:00.000,2016-09-27 23:46:40.000,10000.0
2017-09-01 12:46:40.000,2017-09-01 15:33:20.000,10000.0
2017-08-30 21:53:20.000,2017-08-31 00:40:00.000,10000.0
2016-08-02 15:00:00.000,2016-08-02 17:46:40.000,10000.0
2016-09-06 16:40:00.000,2016-09-06 19:26:40.000,10000.0
2016-08-16 17:53:20.000,2016-08-16 20:40:00.000,10000.0
2016-08-14 18:40:00.000,2016-08-14 21:26:40.000,10000.0
2016-08-14 15:53:20.000,2016-08-14 18:40:00.000,10000.0
